Main ID,Incident ID,Incident Type,Region of Incident,Incident Date,Incident Year,Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Country of Origin,Region of Origin,Cause of Death,Country of Incident,Migration Route,Location of Incident,Coordinates,UNSD Geographical Grouping,Information Source,URL,Source Quality,latitude,longitude,weather_data,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,sunrise,sunset,daylight_duration,precipitation_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
2014.MMP00007,2014.MMP00007,Incident,Mediterranean,2014-01-19,2014,January,12.0,,12,,9.0,,3.0,"Afghanistan,Syrian Arab Republic",Unknown,Drowning,Greece,Eastern Mediterranean,Waters near Greece while being towed back to Turkey,"37.2832, 27",Uncategorized,European Council on Refugees and Exiles,http://bit.ly/2aMCwfg,5,37.2832,27,"                       date  weather_code  temperature_2m_max  \
0 2014-01-19 00:00:00+00:00           3.0             18.3025   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0             14.1525            15.831666        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       35914.824219                0.0           18.043148   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           33.839996                   150.063049  ",2014-01-19 00:00:00+00:00,3.0,18.3025,14.1525,15.831666,0,0,35914.824,0.0,18.043148,33.839996,150.06305
2014.MMP00018,2014.MMP00018,Incident,Mediterranean,2014-02-06,2014,February,15.0,0.0,15,0.0,,1.0,,"Cameroon,Unknown",Unknown,Violence,Spain,Western Mediterranean,Ceuta waters,"35.8793, -5",Uncategorized,L'Espresso,http://bit.ly/U4b8wu,1,35.8793,-5,"                       date  weather_code  temperature_2m_max  \
0 2014-02-06 00:00:00+00:00          55.0               16.75   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0                14.6            15.341666        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       38150.320312                2.9           42.737019   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           60.839996                   256.644379  ",2014-02-06 00:00:00+00:00,55.0,16.75,14.6,15.341666,0,0,38150.32,2.9,42.73702,60.839996,256.64438
2014.MMP00022,2014.MMP00022,Incident,Mediterranean,2014-02-17,2014,February,2.0,0.0,2,121.0,,2.0,,Somalia,Eastern Africa,Mixed or unknown,Italy,Central Mediterranean,Italy waters,"34.5645, 16",Uncategorized,Malta Today,http://bit.ly/V7JIqE,1,34.5645,16,"                       date  weather_code  temperature_2m_max  \
0 2014-02-17 00:00:00+00:00           0.0               17.15   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0           16.450001            16.862501        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       39687.320312                0.0           29.204409   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           34.919998                   159.606415  ",2014-02-17 00:00:00+00:00,0.0,17.15,16.45,16.862501,0,0,39687.32,0.0,29.204409,34.92,159.60641
2014.MMP00031,2014.MMP00031,Incident,Mediterranean,2014-02-27,2014,February,7.0,,7,,,,,Somalia,Eastern Africa,Violence,Libya,Central Mediterranean,Libyan Coast,"33.1597, 15",Uncategorized,Libya herald,http://bit.ly/1lvR4Ka,1,33.1597,15,"                       date  weather_code  temperature_2m_max  \
0 2014-02-27 00:00:00+00:00          53.0                16.6   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               15.85            16.289579        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       41075.148438                1.2           27.381308   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           36.719997                   112.557899  ",2014-02-27 00:00:00+00:00,53.0,16.6,15.85,16.28958,0,0,41075.15,1.2,27.381308,36.719997,112.5579
2014.MMP00044,2014.MMP00044,Incident,Mediterranean,2014-03-17,2014,March,1.0,,1,,,,,Unknown,Unknown,Vehicle accident / death linked to hazardous transport,Libya,Central Mediterranean,Mediterranean,"34.9797, 13",Uncategorized,Global post,http://bit.ly/1lOxCNv,1,34.9797,13,"                       date  weather_code  temperature_2m_max  \
0 2014-03-17 00:00:00+00:00           2.0               14.85   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0                14.3            14.608335        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       43263.910156                0.0           32.559605   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0               42.48                   324.796295  ",2014-03-17 00:00:00+00:00,2.0,14.85,14.3,14.608335,0,0,43263.91,0.0,32.559605,42.48,324.7963
2014.MMP00045,2014.MMP00045,Incident,Mediterranean,2014-03-18,2014,March,7.0,2.0,9,8.0,1.0,1.0,1.0,Syrian Arab Republic,Western Asia,Drowning,Greece,Eastern Mediterranean,"Waters near Lesvos, Greece","39.398814, 26",Uncategorized,Guardian,http://bit.ly/1qfMlCm,1,39.398814,26,"                       date  weather_code  temperature_2m_max  \
0 2014-03-18 00:00:00+00:00           0.0           19.634501   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0             11.1845            14.957419        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       43376.527344                0.0            7.903619   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0               15.84                   292.203491  ",2014-03-18 00:00:00+00:00,0.0,19.6345,11.1845,14.957419,0,0,43376.527,0.0,7.9036193,15.84,292.2035
2014.MMP00056,2014.MMP00056,Incident,Mediterranean,2014-04-09,2014,April,1.0,0.0,1,661.0,,,,Unknown,Unknown,Mixed or unknown,Italy,Central Mediterranean,Italy waters,"35.1092, 14",Uncategorized,Deutsche Welle,http://bit.ly/1okLaA1,1,35.1092,14,"                       date  weather_code  temperature_2m_max  \
0 2014-04-09 00:00:00+00:00           0.0               16.65   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               15.35            16.052082        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       46301.363281                0.0           20.316889   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           25.199999                   262.568665  ",2014-04-09 00:00:00+00:00,0.0,16.65,15.35,16.052082,0,0,46301.363,0.0,20.316889,25.199999,262.56866
2014.MMP00063,2014.MMP00063,Incident,Mediterranean,2014-04-16,2014,April,8.0,1.0,9,5.0,2.0,,1.0,Syrian Arab Republic,Western Asia,Drowning,Türkiye,Eastern Mediterranean,Türkiye waters - en route to Greece,"38.669208, 27",Uncategorized,,http://bit.ly/1qfNEkE,1,38.669208,27,"                       date  weather_code  temperature_2m_max  \
0 2014-04-16 00:00:00+00:00          51.0             18.4935   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0           12.643499            15.847667        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       47699.378906                1.3           30.274265   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           52.560001                   176.083786  ",2014-04-16 00:00:00+00:00,51.0,18.4935,12.643499,15.847667,0,0,47699.38,1.3,30.274265,52.56,176.08379
2014.MMP00072,2014.MMP00072,Incident,Mediterranean,2014-04-30,2014,April,,40.0,40,1.0,,,,Somalia,Eastern Africa,Drowning,Libya,Central Mediterranean,Coast of Libya,"34.3706, 14",Uncategorized,Relief Web,http://bit.ly/1okLiQ5,1,34.3706,14,"                       date  weather_code  temperature_2m_max  \
0 2014-04-30 00:00:00+00:00           0.0               19.25   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0               17.25            18.114584        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       48717.839844                0.0           25.499081   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           33.839996                   182.782959  ",2014-04-30 00:00:00+00:00,0.0,19.25,17.25,18.114584,0,0,48717.84,0.0,25.49908,33.839996,182.78296
2014.MMP00076,2014.MMP00076,Incident,Mediterranean,2014-05-02,2014,May,4.0,0.0,4,80.0,,,,"Eritrea,Ethiopia,Somalia",Eastern Africa,Drowning,Libya,Central Mediterranean,Coast of Libya,"33.1045, 14",Uncategorized,Relief Web ,http://bit.ly/1okLiQ5,1,33.1045,14,"                       date  weather_code  temperature_2m_max  \
0 2014-05-02 00:00:00+00:00           2.0           19.931499   

   temperature_2m_min  temperature_2m_mean  sunrise  sunset  \
0           17.331499            18.233583        0       0   

   daylight_duration  precipitation_sum  wind_speed_10m_max  \
0       48680.542969                0.0           20.721119   

   wind_gusts_10m_max  wind_direction_10m_dominant  
0           28.440001                     4.064322  ",2014-05-02 00:00:00+00:00,2.0,19.9315,17.3315,18.233583,0,0,48680.543,0.0,20.721119,28.44,4.0643225
